0,0804161380,549
1,8176503290,1391
2,B000003SQQ,131
3,B000006OWS,1529
4,B000006OVF,1529
5,B000006OVJ,1529
6,B000006OWT,1529
7,B000006OVG,1529
8,B000006P0M,1529
9,B000006P0J,1529
10,B000006OVE,1529
11,B000006P0K,1529
12,B000006OVK,131
13,B000006OVL,131
14,B000006RGS,1529
15,B000006P0P,1529
16,B000006RGQ,131
17,B000006RGO,1529
18,B000006RGR,1529
19,B000006RGP,131
20,B000006OVI,1529
21,B00000DMAT,1529
22,B00000DMAA,348
23,B00000DMB3,1529
24,B00000DMB4,131
25,B00000DMAX,1529
26,B00000DMA8,1304
27,B00000I1BE,1529
28,B00000I1BK,372
29,B00000I1BY,1529
30,B00000I1C1,372
31,B00000I1BR,372
32,B00000I1BQ,372
33,B00000IFRI,1529
34,B00000IMK5,1304
35,B00000IMK5,372
36,B00000IWYR,1529
37,B00000IZS1,1844
38,B00000IYEQ,1529
39,B00000J97G,1080
40,B00000JL60,1304
41,B00000JL60,348
42,B00000JL6V,1304
43,B00000JL6V,736
44,B00000JRT2,131
45,B00000JRSB,1529
46,B00000K11D,879
47,B00000K0DJ,1529
48,B00000K1V9,372
49,B00000K10U,1529
50,B00000K1VA,1529
51,B00000K2Y6,1304
52,B00000K2Y6,348
53,B00000K4CC,1529
54,B00000K4LL,1304
55,B00000K4D4,1304
56,B00000K4D4,348
57,B00000K4DE,348
58,B00000K4MC,348
59,B00001LDCK,1304
60,B00001LDC8,348
61,B00001LCDM,1529
62,B00001NFS5,1529
63,B00001IVR9,1529
64,B00001OWYQ,1832
65,B00001QEQ9,348
66,B00001QEQ8,348
67,B00001QEQA,348
68,B00001OWYW,131
69,B00001QHYE,348
70,B00001W0J2,1304
71,B00001W0J2,348
72,B00001W0J6,473
73,B00001W0J6,252
74,B00001XDKO,1304
75,B00001XDKO,348
76,B00001XDTY,1304
77,B00001XDTY,348
78,B00001XDKF,1304
79,B00001XDKF,252
80,B00001X50M,1529
81,B00001ZT9E,1529
82,B00001ZUL7,1529
83,B000021Y2F,1529
84,B000021Y4A,131
85,B000021Y5P,1529
86,B000021Y2Z,388
87,B000021Y5U,1529
88,B000023MCN,805
89,B0000296NT,1529
90,B0000296O5,1529
91,B00002CF98,348
92,B00002CF9M,1529
93,B00002CF8U,1529
94,B00002K13U,348
95,B00002R28F,1529
96,B00002S6CC,1529
97,B00002S9SE,1872
98,B00002S9SE,348
99,B00002ST28,1529
100,B00002ST37,1664
101,B00002ST7F,1189
102,B00002STHO,388
103,B00002ST3E,1229
104,B00002STEZ,1529
105,B00002STA0,1189
106,B00002STUI,1304
107,B00002ST27,1529
108,B00002ST7C,1189
109,B00002STXQ,1529
110,B00002STXN,1529
111,B00002STYS,1529
112,B00002ST2I,1229
113,B00002STXG,1529
114,B00002SU5A,348
115,B00002SUPU,348
116,B00002SUNO,1189
117,B00002SUMA,372
118,B00002SVBZ,1304
119,B00002SVBZ,348
120,B00002SVET,1529
121,B00002SUD0,930
122,B00002SUD0,1189
123,B00002SVFR,1529
124,B00002SVG2,1529
125,B00002SVER,1529
126,B00002SVO1,1189
127,B00002SVPC,1189
128,B00002SVFZ,1529
129,B00002SVFV,1529
130,B00002SVEO,1229
131,B00002SVOJ,1189
132,B00002SVEV,1529
133,B00002SVEM,1529
134,B00002SVO9,1189
135,B00002SVOL,1189
136,B00002STF1,388
137,B00002SW3N,1262
138,B00002SUOV,1529
139,B00002SVF4,1529
140,B00002ST3U,1529
141,B00002SWA2,1262
142,B00002SVOE,1189
143,B00002SVG0,1529
144,B00002SW3P,1262
145,B00002Z72E,348
146,B00002STYU,1262
147,B000031KJX,348
148,B000034DC7,1529
149,B000034DMG,1529
150,B000035XB0,1529
151,B000034DBS,372
152,B000035XJD,1189
153,B000035XKY,1189
154,B000035XHV,1189
155,B000035XIJ,1529
156,B000035XKU,1189
157,B000035XIV,1189
158,B000035XMR,1189
159,B000035XLN,1189
160,B000035XLE,1189
161,B000035XKD,1189
162,B000035Y5P,1262
163,B000035XUU,1529
164,B000035Y4P,1529
165,B000035Y6B,32
166,B000035Y6B,773
167,B000035Y0J,1262
168,B000035XX3,372
169,B000034DC2,372
170,B000035Y4Y,1262
171,B000035Y78,1529
172,B000035XKX,1189
173,B000035Y4T,1262
174,B000035Y3I,1262
175,B000038ABK,1529
176,B000035Y1Q,1262
177,B000035XUZ,1529
178,B000035XMP,1189
179,B00003IF3G,1304
180,B000040OEI,1529
181,B000046Q7Q,1529
182,B000047GEI,1529
183,B00004DITL,1529
184,B00004KDF9,1529
185,B00004KHB7,1304
186,B00004KHB7,348
187,B00004KHB3,348
188,B00004R61M,1529
189,B00004R9I4,1193
190,B00004R9I4,31
191,B00004R9IB,1529
192,B00004R9G7,1654
193,B00004R9FG,879
194,B00004R9IC,1529
195,B00004S3AI,348
196,B00004S9A0,1529
197,B00004SQPD,773
198,B00004SVP1,1099
199,B00004SVS9,1529
200,B00004SVUJ,1099
201,B00004SVV7,1529
202,B00004SVW4,1099
203,B00004SVVH,1099
204,B00004SVYE,1529
205,B00004SVYU,1099
206,B00004SVO2,1529
207,B00004SVP2,1099
208,B00004SVVP,1099
209,B00004SVR9,1529
210,B00004SVVT,1099
211,B00004SVPA,1099
212,B00004SVVU,1099
213,B00004SVXP,1099
214,B00004SVXW,1529
215,B00004SVVN,1099
216,B00004SVYF,1529
217,B00004SW1P,391
218,B00004SVV9,1529
219,B00004T1M7,1529
220,B00004T4XM,1529
221,B00004T77A,1888
222,B00004T1MG,1304
223,B00004T1MG,348
224,B00004TCT3,1529
225,B00004TEYR,1529
226,B00004TJ2N,1304
227,B00004TMC8,1529
228,B00004TNDE,1844
229,B00004TMTO,1262
230,B00004TN8R,1844
231,B00004TSX4,1832
232,B00004TSXC,1304
233,B00004TSXC,348
234,B00004U1PK,1529
235,B00004U1R3,1529
236,B00004U55E,1304
237,B00004U55E,348
238,B00004U5VU,1529
239,B00004U8KO,348
240,B00004U8H1,1529
241,B00004UE0K,348
242,B00004UE0G,1529
243,B00004UE0O,348
244,B00004UG9B,1529
245,B00004VP46,1304
246,B00004VP46,348
247,B00004W4QS,1529
248,B00004WGVX,348
249,B00004WI4M,656
250,B00004WI4M,348
251,B00004WHWF,348
252,B00004WHWC,348
253,B00004WLZ7,1529
254,B00004WMVL,1529
255,B00004Y57G,1529
256,B00004Y7SZ,1304
257,B00004Y7SZ,348
258,B00004YC3U,1888
259,B00004YC3U,348
260,B00004YKX4,348
261,B00004YMZS,1304
262,B00004YMZS,1844
263,B00004YQXC,89
264,B00004YRSH,1529
265,B00004ZASP,1304
266,B00004ZASP,348
267,B00004ZBO5,1022
268,B00004ZBO5,348
269,B00004ZCP0,372
270,B0000503QB,738
271,B0000503MO,1529
272,B000050HEK,96
273,B0000524R7,348
274,B0000524PQ,348
275,B000053U3X,1733
276,B000053U3X,1153
277,B0000541B2,1529
278,B0000568U1,879
279,B000056BR4,1304
